Colour Number,Colour Name,NCS Number,R,G,B,Hex
1859,IDENTITY,S2010-Y10R ,207,192,165,#CFC0A5
2090,ISLAND TAN,2214-Y72R ,207,175,162,#CFAFA2
4397,SKI SLOPE,S0515-R80B ,206,223,235,#CEDFEB
7043,REFLEKS,S1502-G ,206,210,205,#CED2CD
8470,SMOOTH WHITE,2003-G96Y ,206,203,192,#CECBC0
700,AUTUMN GREEN,1812-G75Y ,206,203,171,#CECBAB
1359,MACCHIATO,S2005-Y40R ,206,193,177,#CEC1B1
2613,PETIT FOUR,S2030-Y90R ,206,149,143,#CE958F
2119,,2347-Y50R ,206,129,91,#CE815B
5028,WISPY GREY,S1502-B ,205,211,210,#CDD3D2
7430,,S1510-G40Y ,205,209,187,#CDD1BB
980,,1704-G23Y ,205,208,202,#CDD0CA
8357,BURIED TREASURE,S2010-G90Y ,205,195,166,#CDC3A6
8583,EARTHY YELLOW,2217-G98Y ,205,188,148,#CDBC94
1109,MEDITERRANEAN OLIVE,2422-Y06R ,205,179,133,#CDB385
8073,OOLONG,2043-G90Y ,205,179,96,#CDB360
4046,PALE PEARL,S1010-R80B ,204,216,223,#CCD8DF
4668,MISTRAL BREEZE,1606-R61B ,204,207,211,#CCCFD3
2106,GREY LIGHT,2003-Y75R ,204,199,194,#CCC7C2
12077,SHEER GREY,2102-Y26R ,204,199,190,#CCC7BE
2496,SANDSTONE,S2005-Y50R ,204,193,180,#CCC1B4
1110,NURA,2532-Y06R ,204,170,113,#CCAA71
2086,DAMASCUS DUSK,2518-Y52R ,204,167,144,#CCA790
7059,CREAMY SEA GREEN,0421-G01Y ,203,234,209,#CBEAD1
6040,,1210-B99G ,203,219,205,#CBDBCD
7064,SHRUB,1031-G45Y ,203,210,149,#CBD295
520,EMPIRE,S2000-N ,203,203,201,#CBCBC9
8005,WINTER FIG,S2005-G80Y ,203,202,182,#CBCAB6
2573,ROSETTA STONE,S2002-Y50R ,203,197,189,#CBC5BD
1142,CONCRETE,2203-Y41R ,203,196,186,#CBC4BA
2588,ARTIST CLAY,S2005-Y80R ,203,192,185,#CBC0B9
2596,,S2010-Y80R ,203,181,172,#CBB5AC
2120,TROPICAL BURST,2258-Y51R ,203,117,75,#CB754B
8222,JURASSIC GREY,S2010-G80Y ,202,197,169,#CAC5A9
12075,SOOTHING BEIGE,2305-Y22R ,202,192,175,#CAC0AF
1178,SVABERG,2732-Y23R ,202,154,106,#CA9A6A
1048,RUSTIC,2560-Y27R ,202,132,69,#CA8445
5039,PACIFICA,S1010-B10G ,201,218,219,#C9DADB
4016,BAFA,S1010-R90B ,201,217,223,#C9D9DF
7555,SOFT MINT,1706-G15Y ,201,208,198,#C9D0C6
967,LIGHT GREY,,201,203,199,#C9CBC7
1069,CASTOR GREY,2002-Y03R ,201,199,190,#C9C7BE
10679,WASHED LINEN,2303-Y14R ,201,195,182,#C9C3B6
1129,PARCHMENT,2413-Y01R ,201,185,153,#C9B999
6234,STEEL TOPAZ,S1010-B50G ,200,221,217,#C8DDD9
7386,PISTACHIO,S1515-G40Y ,200,205,176,#C8CDB0
1926,SNEDRÅPE,S2002-Y ,200,198,189,#C8C6BD
3229,VOGUE HAZE,S2002-R ,200,196,194,#C8C4C2
553,CHINO,2203-Y13R ,200,195,184,#C8C3B8
553,CHINO,2203-Y13R ,200,195,184,#C8C3B8
3312,,S2005-R30B ,200,194,196,#C8C2C4
10428,MASALA,2830-Y18R ,200,159,110,#C89F6E
2131,,2349-Y67R ,200,119,93,#C8775D
4066,ZEN GREY,2002-R85B ,199,203,203,#C7CBCB
4199,LIGHT LAVENDER,1804-R58B ,199,200,204,#C7C8CC
8281,PALE LINDEN,S2005-G70Y ,199,198,182,#C7C6B6
1111,SINAI,2741-Y06R ,199,158,92,#C79E5C
5222,ISBRE,S1010-B ,198,217,220,#C6D9DC
7406,,S1510-G20Y ,198,208,191,#C6D0BF
6024,SEA SPRAY,1704-B78G ,198,207,203,#C6CFCB
1293,PALLADIUM,2201-Y ,198,198,193,#C6C6C1
1141,OMANI SILVER,2505-Y20R ,197,188,171,#C5BCAB
2169,AROMA,2509-Y73R ,197,177,168,#C5B1A8
1132,SAHARA SAND,2915-Y29R ,197,168,138,#C5A88A
4094,,0718-R82B ,196,219,234,#C4DBEA
6038,NOBEL AZUR,1509-B64G ,196,213,208,#C4D5D0
7038,DUSK GREEN,2010-G44Y ,196,199,177,#C4C7B1
3046,SOFT VIOLET,2108-R46B ,196,192,198,#C4C0C6
20047,BLUSHING PEACH,2914-Y53R ,196,165,145,#C4A591
4446,REFLECTION,S1015-R80B ,195,213,225,#C3D5E1
7391,GREY MATTER,S2002-G ,195,198,194,#C3C6C2
8316,THUNDER GREY,S2010-G50Y ,195,198,175,#C3C6AF
8068,,1943-G74Y ,195,184,102,#C3B866
2095,MAHOGANY ASH,2511-Y76R ,195,172,162,#C3ACA2
2784,,2745-Y69R ,195,118,95,#C3765F
7065,GREEN LATTE,1337-G48Y ,194,200,132,#C2C884
5239,,S2002-B ,194,198,198,#C2C6C6
4468,ALLADIN,S1510-R80B ,193,205,213,#C1CDD5
4468,ALLADIN,S1510-R80B ,193,205,213,#C1CDD5
10415,,2704-Y12R ,193,187,172,#C1BBAC
2091,NORDIC BROWN,3019-Y66R ,193,153,136,#C19988
1113,GOLDEN SAND,3234-Y17R ,193,149,98,#C19562
4200,RAMAD,S2005-R80B ,192,198,201,#C0C6C9
4688,,1813-R61B ,192,195,207,#C0C3CF
1269,DAWN,2502-Y17R ,192,190,182,#C0BEB6
3009,SØLVBJERK,S2502-R ,192,188,187,#C0BCBB
2134,,2744-Y72R ,192,116,97,#C07461
1973,OBJECTIVE,S2502-Y ,191,188,178,#BFBCB2
1973,OBJECTIVE,S2502-Y ,191,188,178,#BFBCB2
12076,MODERN BEIGE,2805-Y27R ,191,179,164,#BFB3A4
2024,SENSES,S3010-Y50R ,191,167,149,#BFA795
